text_id	link	title	date	author	type	filename
115	https://panorama.pub/4758-minoborony-velikobritanii-poprosilo.html	Министр обороны Великобритании попросил английских болельщиков не стесняться фотографировать военные и стратегические объекты в России	2018-07-05	Борис Гонтермахер	news	D:\Panorama\texts\115.txt
116	https://panorama.pub/4600-google-sozdast-yazykovoj-pomoshhnik-mutko.html	Google создаст языковой помощник «Мутко»	2018-07-05	Изяслав Тарашкевич	news	D:\Panorama\texts\116.txt
117	https://panorama.pub/4729-premii-chajldfri-param.html	Мэрия французского города будет выплачивать премии чайлдфри-парам	2018-07-04	Борис Гонтермахер	news	D:\Panorama\texts\117.txt
118	https://panorama.pub/4746-v-moskve-arestovali-moshennikov-vodivshih-inostrantsev-v-falshivyj-mavzolej.html	В Москве арестовали мошенников, водивших иностранцев в фальшивый мавзолей	2018-07-04	Виталий Манн	news	D:\Panorama\texts\118.txt
119	https://panorama.pub/4742-potrebovalo-ogranichit-migratsiyu-iz-odnoklassnikov.html	Движение &quot;Альтернатива для Twitter&quot; потребовало ограничить миграцию из &quot;Одноклассников&quot;	2018-07-04	Борис Гонтермахер	news	D:\Panorama\texts\119.txt
120	https://panorama.pub/4584-minoborony-postroilo-v-anape-detskuyu-ploshhadku-s-maketami-novejshih-vidov-tehniki-i-vooruzheniya.html	Минобороны построило в Анапе детскую площадку с макетами новейших видов техники и вооружения	2018-07-04	Григорий Касаткин	news	D:\Panorama\texts\120.txt
121	https://panorama.pub/4731-eks-rabotnik-general-motors.html	Престарелый чернокожий экс-работник General Motors приехал вспомнить молодость на УАЗ	2018-07-03	Борис Гонтермахер	news	D:\Panorama\texts\121.txt
122	https://panorama.pub/4721-uber-sozdast-v-rumynii-pervuyu-v-mire-set-guzhevyh-taksi.html	UBER создаст в Румынии первую в мире сеть гужевых такси	2018-07-03	Виталий Манн	news	D:\Panorama\texts\122.txt
123	https://panorama.pub/4715-pensionnyj-fond-snimet-dokumentalnyj-film-o-vrede-rannego-vyhoda-na-pensiyu.html	Пенсионный фонд снимет документальный фильм о вреде раннего выхода на пенсию	2018-07-02	Виталий Манн	news	D:\Panorama\texts\123.txt
124	https://panorama.pub/4712-v-nizhnem-novgorode-uvolili-prodavshhitsu.html	В Нижнем Новгороде уволили продавщицу, продававшую иностранным болельщикам проколотые презервативы &quot;для улучшения генофонда&quot;	2018-07-02	Борис Гонтермахер	news	D:\Panorama\texts\124.txt
125	https://panorama.pub/4699-vvs-poluchila-litsenziyu-na-sochinenie-fejkov.html	ВВС получила лицензию на сочинение фейков	2018-07-02	Виталий Манн	news	D:\Panorama\texts\125.txt
126	https://panorama.pub/4701-podpisala-dogovor-o-peredache-kitayu.html	Россия подписала договор о передаче Китаю в аренду 3,5 млрд га земли	2018-07-02	Борис Гонтермахер	news	D:\Panorama\texts\126.txt
127	https://panorama.pub/4590-avtoinspektor-nahodil-bablo-v-musorke.html	Автоинспектор ежедневно находил от 30 до 50 тысяч рублей в мусорном баке рядом с постом	2018-07-02	Григорий Касаткин	news	D:\Panorama\texts\127.txt
128	https://panorama.pub/4685-initsiativnye-rossiyane-sozdali.html	Инициативные россияне создали движение &quot;А мы и не торопимся&quot; в поддержку повышения пенсионного возраста	2018-07-01	Борис Гонтермахер	news	D:\Panorama\texts\128.txt
